From,To,Element,Threshold,Groups
Cingulum_Mid_R_t_0,Cingulum_Ant_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Cingulum_Mid_R_t_1,Cingulum_Ant_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Frontal_Inf_Oper_R_t_1,Paracentral_Lobule_R_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Frontal_Inf_Orb_L_t_0,ParaHippocampal_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Frontal_Inf_Orb_L_t_1,ParaHippocampal_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Frontal_Inf_Orb_R_t_1,Cerebelum_3_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Frontal_Inf_Tri_L_t_0,Frontal_Inf_Tri_R_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Frontal_Inf_Tri_L_t_1,Frontal_Inf_Tri_R_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Frontal_Med_Orb_L_t_0,Amygdala_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Frontal_Med_Orb_L_t_1,Amygdala_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
golden_sumscore_t_0,Frontal_Sup_Orb_R_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
golden_sumscore_t_0,Precuneus_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
golden_sumscore_t_0,Temporal_Inf_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
golden_sumscore_t_1,Frontal_Sup_Orb_R_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
golden_sumscore_t_1,Precuneus_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
golden_sumscore_t_1,Temporal_Inf_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
hopkins_anxiety_t_0,numbro_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
hopkins_anxiety_t_0,Pallidum_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
hopkins_anxiety_t_0,Precuneus_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
hopkins_anxiety_t_0,Vermis_6_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
hopkins_anxiety_t_1,numbro_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
hopkins_anxiety_t_1,Pallidum_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
hopkins_anxiety_t_1,Precuneus_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
hopkins_anxiety_t_1,Vermis_6_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Insula_L_t_0,Temporal_Sup_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Insula_L_t_1,Temporal_Sup_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Lingual_R_t_0,Calcarine_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Lingual_R_t_1,Calcarine_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
marriage_num_t_0,Cerebelum_6_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
marriage_num_t_0,Lingual_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
marriage_num_t_1,bmi_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
marriage_num_t_1,Caudate_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
marriage_num_t_1,Cerebelum_6_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
marriage_num_t_1,Lingual_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
marriage_num_t_1,Lingual_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
marriage_num_t_1,SupraMarginal_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
ns1_t_0,Cerebelum_4_5_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
ns1_t_0,Putamen_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
ns1_t_0,Vermis_6_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
ns1_t_1,Cerebelum_4_5_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
ns1_t_1,Putamen_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
ns1_t_1,Vermis_6_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
numbro_t_0,Cuneus_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
numbro_t_0,Occipital_Inf_R_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
numbro_t_0,Rectus_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
numbro_t_0,Temporal_Pole_Mid_R_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
numbro_t_1,Cuneus_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
numbro_t_1,Occipital_Inf_R_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
numbro_t_1,Rectus_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
numbro_t_1,Temporal_Pole_Mid_R_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Occipital_Inf_L_t_0,Occipital_Sup_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Occipital_Inf_L_t_1,Occipital_Sup_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Occipital_Inf_R_t_0,Amygdala_R_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Occipital_Inf_R_t_1,Amygdala_R_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Occipital_Sup_L_t_0,Parietal_Sup_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Occipital_Sup_L_t_1,Parietal_Sup_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Occipital_Sup_R_t_0,Rolandic_Oper_R_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Occipital_Sup_R_t_1,Rolandic_Oper_R_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Olfactory_L_t_0,Occipital_Inf_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Olfactory_L_t_0,Thalamus_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Olfactory_L_t_1,Occipital_Inf_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
